Model,Price
CG160Start,R$13.280
CG160Fan,R$14.570
CG160Titan,R$15.810
CG160Cargo,R$14.760
Pop110i,R$9.010
Biz110i,R$11.000
Biz125,R$13.770
Elite125,R$12.580
PCX,R$16.230
Forza350,R$48.247
HondaADV,R$22.660
X-ADV,R$91.780
CB300FTwister,R$21.090
CB500F,R$39.100
CB650R,R$51.100
CB1000R,R$78.870
CB1000RBlackEdition,R$87.730
NXR160BrosESDD,R$17.960
XRE190,R$19.570
XRE300,R$25.000
CB500X,R$41.600
NC750X,R$52.680
CRF1100LAfricaTwin,R$81.100
CRF1100LAfricaTwinAdventureSports,R$102.130
HondaADV,R$22.660
X-ADV,R$91.780
CRF250F,R$21.030
LinhaCRF250,R$71.163
LinhaCRF450,R$74.878
TRX420FourTrax,R$47.820
CBR650R,R$53.790
CBR1000RR-RFIREBLADESP,R$193.500
GL1800GoldWingTour,R$291.335
